[40]rt_x,[40]rt_z,[41]rt_x,[41]rt_z,[42]rt_x,[44]rt_x,[44]rt_z,[45]rt_z,[46]rt_z,[48]rt_z,[49]rt_z,[50]rt_z,[52]rt_x,[52]rt_z,[53]rt_z,[54]rt_z,[56]rt_x,[56]rt_z,[57]rt_z,[58]rt_z,FingersNumber
-22.40687,-63.03822,29.72125,-15.15057,-14.97666,-15,-100.0283,-13.9859,-6.992949,-69.13037,-69.13037,-69.13037,15,-4.406435,-4.406435,-4.406435,25,-48.37296,-48.37296,-48.37296,1
-22.37107,-62.99602,29.79287,-15.10836,-15.58284,-15,-100.2708,-13.48341,-6.741703,-69.17976,-69.17976,-69.17976,15,-4.160854,-4.160854,-4.160854,25,-48.02673,-48.02673,-48.02673,1
-22.31908,-62.95438,29.89684,-15.06672,-16.52599,-15,-100.5403,-12.99441,-6.497206,-69.22261,-69.22261,-69.22261,15,-3.907504,-3.907504,-3.907504,25,-47.67626,-47.67626,-47.67626,1
-22.2496,-62.89399,30.03371,-15.00979,-17.77551,-15,-100.5368,-12.74224,-6.371119,-69.22663,-69.22663,-69.22663,15,-3.681865,-3.681865,-3.681865,25,-47.17355,-47.17355,-47.17355,1
-22.18188,-62.84163,30.16912,-14.95745,-18.81199,-15,-100.61,-12.49509,-6.247544,-69.24405,-69.24405,-69.24405,15,-3.501294,-3.501294,-3.501294,25,-46.72589,-46.72589,-46.72589,1
-22.1209,-62.80344,30.29108,-14.91925,-19.72519,-15,-99.99178,-13.05659,-6.528295,-69.26385,-69.26385,-69.26385,15,-3.564395,-3.564395,-3.564395,25,-46.23939,-46.23939,-46.23939,1
-22.06881,-62.76327,30.39526,-14.87907,-20.53255,-15,-100.0253,-12.94064,-6.470318,-69.26337,-69.26337,-69.26337,15,-3.62533,-3.62533,-3.62533,25,-45.64486,-45.64486,-45.64486,1
-22.10829,-62.71502,30.3163,-14.83083,-21.0933,-15,-99.81184,-12.90985,-6.454925,-69.26337,-69.26337,-69.26337,15,-3.393715,-3.393715,-3.393715,25,-44.98125,-44.98125,-44.98125,1
-22.13681,-62.67581,30.25926,-14.79161,-21.53818,-15,-99.65096,-12.87027,-6.435134,-69.26337,-69.26337,-69.26337,15,-3.163211,-3.163211,-3.163211,25,-44.23117,-44.23117,-44.23117,1
-22.06734,-62.69767,30.39822,-14.81346,-21.69045,-15,-99.73802,-13.00877,-6.504386,-69.27927,-69.27927,-69.27927,15,-2.503769,-2.503769,-2.503769,25,-43.43615,-43.43615,-43.43615,1
